0.8674160045,0.7289832043
0.4547327836,0.0735910640
-0.0547770685,0.1819624971
-0.1245640979,-1.0065293676
0.4305971441,0.8883772506
0.0258139716,0.1717347020
1.0018428238,0.6333381154
0.2962543570,0.6275161128
0.9762394980,0.2979379997
0.2335290663,0.1095086809
0.4094009778,0.8788667608
0.3185409548,0.8851247861
1.0717080518,0.0221677321
0.3060196878,-0.2048147069
0.4918332715,0.9107300895
-0.2520244328,0.3811772245
-0.1100416718,-0.9339453672
0.2073394617,0.6833507560
0.2802953365,0.9501140475
-0.0078542766,-0.9907656035
-0.2195836734,0.1960708265
0.8797712259,0.7760752803
-0.2118812420,-1.0107536498
0.8786988226,0.0278896812
1.0534984318,0.0286499787
0.9753241702,0.7820910107
-1.8124740482,0.1073743300
0.3847326220,0.8730780642
-0.0596930908,0.1498396693
0.0355714745,0.3547581467
0.2261955969,0.2223749753
-0.4061858372,0.1883021633
0.2131991612,0.6842189801
0.8444932605,0.3276493207
-0.0407057900,0.2001269015
0.4490725330,0.6752705219
0.7786836722,0.8536104668
0.9489249220,0.1504034172
0.2432521993,0.8484326239
0.5550028556,0.2031510426
0.1082733863,0.8629719756
0.1669979785,0.3011477355
0.1633977433,0.8008565390
0.0295085690,0.7888444085
0.0828420337,0.8528081383
0.1141793311,0.1717228390
